,network,id,contract,address,amount,createdAt,dao
0,mainnet,0x003c348eab1df330f0ba3f4da28c50ea62c15f642cb48c890741be92e283a788,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,0x8465b666019b9c396d1d1fea74968c43814c6365,1000000000000000000,1561845731,0x6bee9b81e434f7afce72a43a4016719315069539
1,mainnet,0x0043a243f0866a08c2e09f93d8088a9d308a7cdda22ffa558ecffa49598f3579,0x3fdbc809ddb9389d6f28edd6191e5d3e167b4118,0x2a7b76fef91a276b6cccd9364ed483ae5e312f50,19040000000000000000,1573641256,0x3324b516df92e78463d8b0616dd146cf6c58b0b9
2,mainnet,0x008101eba5386f5c86def8799a21bd456643f82473da1c7b41604a9fd0282210,0xe2c2bbf97599c448aba4561006c8d5929ac08e13,0x9a94ac82b17e67f7dff81912de68eb74ca20e6c3,37762500000000000000,1573845055,0x0b93ba560283350d4216f29dc57e15df38d0eace
3,mainnet,0x0082da7e0cff82885ae6b4da323feaec93050645822c7b9be1458f808c32f946,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x3917d5db38879bab97cb5b65ec5562f4cf648196,3840000000000000000,1558699565,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
4,mainnet,0x009fa270c2b7ade9675d8b69684a4c0cebbe8247b3de2ca09ad44a6d90e24e83,0x7a927a93f221976aae26d5d077477307170f0b7c,0x08eec580ad41e9994599bad7d2a74a9874a2852c,120040000000000000000,1604235187,0x519b70055af55a007110b4ff99b0ea33071c720a
5,mainnet,0x00b49cc1bd5a4d82150e28d9bddb6da0c2dfbbd4f9eb2cd5b247b243ae51016a,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0xa15ca74e65bf72730811abf95163e89ad9b9dff6,33533515574875830558,1579735657,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
6,mainnet,0x00c0fa8a77952c5b1b68e1479a4d8ad50cefebb97da21bdb5ce08da8a7948c35,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x6ac0a885ed84f4a2d062c60fb7daaf504fc8c47f,11414205444747535955,1562825629,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
7,mainnet,0x00ec4af67ea6b6f48a880799d147eb317b1332ef8336256b9c22320e25bb1732,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0xb64850fe701fb64667b6cc762aa2c12f2e02193c,20496333989884006734,1574671079,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
8,mainnet,0x0118f830ab27a4f5a7716c12440ebcb0cf80859fe95389687574f93c7791099d,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x144c4e5027b69f7798b2b162d924bcae5c149f15,32302900883684580621,1562951031,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
9,mainnet,0x01571ce7baf1a4afaec83c113aae2a4de7a829c0b6918e3758527e3d5759bc7b,0x83292075bb0aa563d082040126ff5879dfdd1f8a,0xd9d21d54fb2bf93afc62a7115a2518682a50508b,607315677098803200000,1566938643,0x440583455bcd85ab2bd429c015d3aabcae135f0a
10,mainnet,0x01cbe87636d265faf3a375cf199e965dae79d225a3fd766cff7f0248bd55cc90,0x7a927a93f221976aae26d5d077477307170f0b7c,0x436ab15705e0ed23284512770748770ee4c16155,3018907211915430395417,1599683193,0x519b70055af55a007110b4ff99b0ea33071c720a
11,mainnet,0x0206af9b828fb814005a56536ed1851b1970a4a1b4664f1fd1ea492e3c2fdbed,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x0ebbda43014a6e6c32657a8db79376738d549b2f,5624682763356576418,1581311535,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
12,mainnet,0x020b01abc08c94ef784a5727d9e6094907fdb27583d7e012f2d2a1f0aaf9672c,0x7a927a93f221976aae26d5d077477307170f0b7c,0x730fd267ef60b27615324b94bf0bc7ed15d52718,2122274369182749686805,1588101302,0x519b70055af55a007110b4ff99b0ea33071c720a
13,mainnet,0x02185d93de7ec909b7b71c33105a8ba08b7fa5b1814ac7e87c6639007413786c,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x9a94ac82b17e67f7dff81912de68eb74ca20e6c3,15905346139758325643,1570702751,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
14,mainnet,0x021a17aee2e874f05bffd695d8e1842c90967e2ebeb09e63549afe44d022f73d,0xcc6d1b8f2f0a1d48fbd3adba991a0b0ef8a342a2,0xce7298e5ef1ae8af0573edc2ebd03ab0f837e214,5460840000000000000,1583312014,0x8990e11b69403ea53ef2b32434bbd7dbf84b5234
15,mainnet,0x02235cbcb1106285c837cf5d5076c14b6e984387c83d5f68371d9a85430124eb,0x7a927a93f221976aae26d5d077477307170f0b7c,0x84443f61efc60d10da9f9a2398980cd5748394bb,3632511472638812440486,1573500441,0x519b70055af55a007110b4ff99b0ea33071c720a
16,mainnet,0x022f25c90ef4c532ac85b12596753030c251fdd01ffcca6bbd255a42267e80d1,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x43e95670dd39653632f01f537d7809ab89ca58fa,3750912000000000000,1574523757,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
17,mainnet,0x02626c6e5bc48a9de413ebda367d77957c7806a8ebc8431f5fb3e1bdae3cb151,0x7a927a93f221976aae26d5d077477307170f0b7c,0xeaa9f91064e7b9ae4f3b8e4961eab9556f24c8ad,873489182566387037814,1584287111,0x519b70055af55a007110b4ff99b0ea33071c720a
18,mainnet,0x02afc8d028f8d181358bf9e1cd08def455b3d09e7e9cb0297870307c20e18b90,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0xc4d9d1a93068d311ab18e988244123430eb4f1cd,21585124814445229036,1571754556,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
19,mainnet,0x02bb9ae7c7936b2faf611763789cea3da196cee45e03bae5dc7eff32b7c2d2df,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x95fd1628e15e4ead16e4f85cc1e4e8c58d8bc34c,4763398584254595072,1572599441,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
20,mainnet,0x02d94d78f462f71110fdf97ddab2106649fcf0e7349c8197066934681ed6870f,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0xc4d9d1a93068d311ab18e988244123430eb4f1cd,26389083112920832220,1574685366,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
21,mainnet,0x02da5ed07bdc469be3ffa66fb60f6d6e4a7bc54f726c031ac51857289b00d711,0x7a927a93f221976aae26d5d077477307170f0b7c,0xd7fe300587d41ed0e8b6a2bed5a1b2bb4fcdad9e,70280591478090410744,1564163435,0x519b70055af55a007110b4ff99b0ea33071c720a
22,mainnet,0x030fa9072b0100eb464b18402eb7873c033e7520f4ea47194ad767f04ddd17b1,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0xcaa9c1251dfdad81f4175edbd09ba9d9131aca77,10402585600000000000,1555871010,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
23,mainnet,0x032170bd477d3578b120b31f638aa3caa83f51e900dcdfa91c90c045b868bc3b,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0xebec8c75c489ab7fab3e20ea556a2cf7e0da9b4b,19049421546455826152,1574804227,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
24,mainnet,0x034e0374b23689695763edaa29615771e92ae2eb6dfdcd743a7d2df74fbecabf,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x379383e2d3ab8ce362cffbdd6f13d81213475786,7068654454858798975,1563866155,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
25,mainnet,0x0357167b691749bb2e7b4385e4f46ba6d5c46de81ed5f862124cc7aa6d7bc169,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x0f07d407ac41d6dbb2cf237b0704c0ab5b9b8754,13089755463306197246,1563954778,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
26,mainnet,0x0371b4b632276b42cc5d44ae68e3d9f3fe6f4fb841c60cfed1926fc780dd8d29,0x9bcc45cba43cf699289fcc0f72e5095fa53bffee,0xdb40ae9e2cbaf17bbe68d2ae221fa499f8e42c85,391048184161014436,1580045475,0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7
27,mainnet,0x037a63ddb9f8ca3f660c859975a7f3424f677bfa6c3fb90f0fe8aa78af9bdf00,0x9bcc45cba43cf699289fcc0f72e5095fa53bffee,0x34f1e87e890b5683ef7b011b16055113c7194c35,1440480778768419882718,1610434106,0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7
28,mainnet,0x03f2d440d73d2a9fcba6c682394b3e114fc3830984fd8b8ac4d580aba124e082,0x9bcc45cba43cf699289fcc0f72e5095fa53bffee,0x34f1e87e890b5683ef7b011b16055113c7194c35,610037944191537904891,1588797284,0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7
29,mainnet,0x03f4f1153228d3526c161a0145e6d27c6262036efdac0bb5f7b51b88f707d842,0x7a927a93f221976aae26d5d077477307170f0b7c,0x3706c5fbe1d3f9d8e1da3c0989ecff4cb84be4c8,1701601931873471598,1592528877,0x519b70055af55a007110b4ff99b0ea33071c720a
30,mainnet,0x0407fadfcc4b6947e23a875c3c9037ae6cdc0fd9e842f3025db145438c07240a,0x7a927a93f221976aae26d5d077477307170f0b7c,0x3f3e6add7da36a76539f1cc5b159d040c633134b,29727993922859993162,1563234367,0x519b70055af55a007110b4ff99b0ea33071c720a
31,mainnet,0x046e8af76eaa3b9c63ac135c77a072eb90463ddea24a6d85b8e01894de4bd295,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x43e95670dd39653632f01f537d7809ab89ca58fa,3600875520000000000,1575555409,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
32,mainnet,0x049678dc88391478100003f70e29a98399ba599a822e4fb655fddae85ec7d6af,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x1bc9e52baa93dab1a47c3168f6d82ed08856ec83,13592000000000000000,1555050392,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
33,mainnet,0x04cf5b783310cd28c96efebf206a161d4ec5c41ae8c238af6b15df58d318eaac,0x45413ccd9870c89980dbae9c11315a8a1c1f3f2f,0xb391ae8fc7483770930d1deab5a898206e9cdb3f,3000000000000000000,1573522694,0x2b8c70fffda7f3d7667f7cfede1429313886329c
34,mainnet,0x04ee8882907cfbb165a86f4f42f1adcaf1678257f982b37080ddd6257b4c14f8,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0xb1b7586656116d546033e3baff69bfcd6592225e,6114296994201600000,1555941936,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
35,mainnet,0x04fcbfcfe0c7c3e50770fe8f900c3d9416efaa135badc7bcc90ebe17727cd9be,0x7a927a93f221976aae26d5d077477307170f0b7c,0x3706c5fbe1d3f9d8e1da3c0989ecff4cb84be4c8,6806407727493886395,1587554495,0x519b70055af55a007110b4ff99b0ea33071c720a
36,mainnet,0x04fed764cfbc63fdd8aa3cef7427a6004ba861453f545c7a14b263019a30546f,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x7688660055967db4d0b68d4e0cc3a43b2a5f044b,3840000000000000000,1560383769,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
37,mainnet,0x050c639c71d7065ed4d8b7a8701f8c92b58c272ae9026ff48bae63622b42ef82,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0xa1b02d8c67b0fdcf4e379855868deb470e169cfb,11040000000000000000,1568773421,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
38,mainnet,0x051e49477e8e0411265178920e69fa0ccf7aa33af542e967f03a0c26c2d826c0,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0xb1b7586656116d546033e3baff69bfcd6592225e,8452000000000000000,1554978075,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
39,mainnet,0x053d5c9db51b16b0daa8b87b953719cfe070063abedd4e09c0ed46d0083e78c7,0x3fdbc809ddb9389d6f28edd6191e5d3e167b4118,0xd87eb1b4c26d4509aca8c099c1eb9e513d053f63,19703188684800000000,1561292837,0x3324b516df92e78463d8b0616dd146cf6c58b0b9
