,network,id,createdAt,staker,outcome,amount,dao,proposal
0,mainnet,0x002a6f4b1986b3d700b470bdcd835a5c828e8e9cb04d469b8598259e35ad71b0,1561147345,0x26904e77a65ba7ff95803d804ef46fc6d8f33720,Pass,60000000000000000000,0x6bee9b81e434f7afce72a43a4016719315069539,0x1d7514de86913f1f306c237d2f6c88ac31098afb00cdf9bfbc1b142f2190d94e
1,mainnet,0x0034e58174fdef6f34fa3df9e4582297a74e0481d2000c7549b9a3c76006acdd,1564370175,0x4abe45a46ff4be05545684ab7aa1894628d9dca6,Pass,1000000000000000000,0x519b70055af55a007110b4ff99b0ea33071c720a,0xa0225277f6b1f3b4f0bedc3e4d92ed8f3ba53e5847813123f09d378ea8cdd929
2,mainnet,0x003855e34d7163f25f7b3abf4c8584414cf1dd3cf18cde3236efac4f2f9ed161,1555959165,0xf16294a979a027f297dace2f618cb57bc4bf5d16,Pass,150000000000000000000,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0xf37c69b6340e07c14ec9a9cac73a04682d5987d183f862607405fde7c6d726df
3,mainnet,0x004d8429b916138dfc1386b71922a9efe28c5e507eb104ee323baf11110d5635,1555856781,0xce7298e5ef1ae8af0573edc2ebd03ab0f837e214,Pass,300000000000000000000,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x9421968a79dfc6b9437c04810293ff7f732fed2190ba59652b0dd6ffeda45e39
4,mainnet,0x006812f41b36c70bc1403953407457b165f07b666d5d8f8eecda8800e3f2cf7a,1565031668,0xa15ca74e65bf72730811abf95163e89ad9b9dff6,Fail,100000000000000000000,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x7fd26b2118068bd2e38e62d0b833fe49962db9e2ebaa62665586342b7b46da41
5,mainnet,0x006b0c221ecd81229e920beb1b0a8c46dcc4545ed8027f2177a9a8a1d22e4f57,1579253755,0x50589344709e59885ac585a525c46a8979041177,Pass,100000000000000000000,0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,0x83ce629ebc4c5c289866ab20cb798c4a39e673fed41347de306d7c633cc093c8
6,mainnet,0x007c563b54932ee2ee160f5300004dcebe7e0eaf3409302c1e257cd744559ef1,1608426789,0x583acc79585d3cb195ea8125f6f80ad459b46313,Pass,500000000000000000000,0x519b70055af55a007110b4ff99b0ea33071c720a,0x8ae12b14a70824cc28d65f3cfd79b4f8fbb0f5dd3606adb2ddae869c6b0ef12f
7,mainnet,0x0095b52757bceef2290517a434d2320ffc6e07728bf0c11232254118d21430a3,1573664932,0x774d556f7c2cae79f28a35b8e1f57371df8b8bca,Pass,600000000000000000000,0x2b8c70fffda7f3d7667f7cfede1429313886329c,0x443c64ce9b00108f701608e41eb0355facb7445ca1b1c381d6c3f0b7e24b8ef4
8,mainnet,0x00a6d02c011f271e1505bf68ffd9f6e45f83a0a4c71ce30e144045343814c678,1582259453,0x95fd1628e15e4ead16e4f85cc1e4e8c58d8bc34c,Pass,187000000000000000000,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0xebb2c05cc490aa1b6e2bade8663da1f3d28e452d3e04166c79d7eb1e636d8b0f
9,mainnet,0x00ad7bf3b9251a18b52ea0d93e30f0c3487e143ea4f414137d375ac1001ed066,1572046223,0x95fd1628e15e4ead16e4f85cc1e4e8c58d8bc34c,Fail,100000000000000000000,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x50426c06f450c20a21d7726df57a2ebb99a4a94d75c5d379ad59ce80c1217bee
