,network,id,createdAt,molochAddress,memberAddress,shares,loot
22,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x5b93ff82faaf241c15997ea3975419dddd8362c5-rage-10010894,1588744038,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x5b93ff82faaf241c15997ea3975419dddd8362c5,17,0
23,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x5bb3e1774923b75ecb804e2559149bbd2a39a414-rage-9705516,1584666507,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x5bb3e1774923b75ecb804e2559149bbd2a39a414,1,0
24,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x5bb3e1774923b75ecb804e2559149bbd2a39a414-rage-9705530,1584666693,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x5bb3e1774923b75ecb804e2559149bbd2a39a414,21,0
25,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x632889068e25630f5c928681e8529ee255d8cd52-rage-8957571,1574095880,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x632889068e25630f5c928681e8529ee255d8cd52,24,0
26,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x65e624de155fb5e42454947b87b04c535b8acde9-rage-10240953,1591832500,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x65e624de155fb5e42454947b87b04c535b8acde9,13,0
27,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x65e624de155fb5e42454947b87b04c535b8acde9-rage-10609123,1596755396,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x65e624de155fb5e42454947b87b04c535b8acde9,17,0
28,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x66268791b55e1f5fa585d990326519f101407257-rage-8650567,1569853518,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x66268791b55e1f5fa585d990326519f101407257,6,0
29,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x66b1de0f14a0ce971f7f248415063d44caf19398-rage-10007507,1588699352,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x66b1de0f14a0ce971f7f248415063d44caf19398,50,0
30,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x66b1de0f14a0ce971f7f248415063d44caf19398-rage-10459113,1594749583,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x66b1de0f14a0ce971f7f248415063d44caf19398,21,0
31,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e-rage-10286190,1592436455,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,50,0
32,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e-rage-10339062,1593143230,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,200,0
33,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e-rage-10405061,1594027635,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,200,0
34,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e-rage-9729265,1584987778,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,15,0
35,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x7a446c7fda67e5e8705ad90f2da52fc018280731-rage-8801086,1571894312,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x7a446c7fda67e5e8705ad90f2da52fc018280731,24,0
36,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x7a446c7fda67e5e8705ad90f2da52fc018280731-rage-9675887,1584272635,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x7a446c7fda67e5e8705ad90f2da52fc018280731,14,0
