,network,id,version,summoner,summoningTime,createdAt,totalShares,guildBankAddress,totalLoot,molochAddress,name
2952,xdai,0xa818925b9ef44c3545fca833131fce82d0fb04e5,2.1,0xcf04f1eb7d9024c519cfb968e15ba01fde7dbadc,1639581570,1639581570,12,,0,0xa818925b9ef44c3545fca833131fce82d0fb04e5,Travel3
2953,xdai,0xa8b93eac3b1ec59b5d8c0027b923c9e77981de4f,2.1,0x8380562e32e5cfb3f20c296fef07f481530ca3df,1632330495,1632330495,1,,0,0xa8b93eac3b1ec59b5d8c0027b923c9e77981de4f,Ater
2954,xdai,0xa8dda2c982cea51612747075587ff4da10cab425,2.1,0x9c580fb2a523f6cf2d327e1a9647c1b26d6e6df5,1615655135,1615655135,5,,0,0xa8dda2c982cea51612747075587ff4da10cab425,AlphaM
2955,xdai,0xa90c0dceaa20b1f2d33df834d71599afe52b9c87,2.1,0xa45f1ea12f33b5feaf8aeca3c0f41da463a74b06,1644693160,1644693160,1,,0,0xa90c0dceaa20b1f2d33df834d71599afe52b9c87,
2956,xdai,0xa90c436ed73ccf7500fb72e81939033ec1c5e584,2.1,0x20cdc80ada0564aba37e307890605873d146b691,1633094445,1633094445,1,,0,0xa90c436ed73ccf7500fb72e81939033ec1c5e584,Stolons
2957,xdai,0xa90e623c7c6b050ba563e81707bc0f3759ae3f1a,2.1,0x0fcbd7bd1eea6b3ea4255f5faa7ba78460df2eee,1617390450,1617390450,1,,0,0xa90e623c7c6b050ba563e81707bc0f3759ae3f1a,LaunchPools Startup
2958,xdai,0xa92b326cdbba20eb18cf6480a3a707bb9ff9ab73,2.1,0xdc7c0fa6755bd03acbdb5ec0e4bda9b5bc1df22a,1616485585,1616485585,1,,0,0xa92b326cdbba20eb18cf6480a3a707bb9ff9ab73,
2959,xdai,0xa942290dcc94a6c099a3063190177f1a821f796d,2.1,0x04644c759bd5c15a1f13d012c950e0f58fd7f967,1620265135,1620265135,200,,0,0xa942290dcc94a6c099a3063190177f1a821f796d,GrokSpotDAO
2960,xdai,0xa963366acc40bbffa3b4091f7e12553dae8ffb86,2.1,0xd974738590cab97ecf0710d704426006a0679d4c,1646503805,1646503805,100,,0,0xa963366acc40bbffa3b4091f7e12553dae8ffb86,DAP∏DAO
2961,xdai,0xa96db484ce4cd15f048722ed015d5f4de9b821b7,2.1,0x3eed07fc683037565e54408a6800c9c3a6f70c45,1632388470,1632388470,1,,0,0xa96db484ce4cd15f048722ed015d5f4de9b821b7,Altcoin Wahnsinn
2962,xdai,0xa9790ba86246a662b34717c748fbfed03aa4bc70,2.1,0x0721b833df1d9a475aa0b5a69d3c8ec7f4468f70,1647988175,1647988175,12,,0,0xa9790ba86246a662b34717c748fbfed03aa4bc70,Bob is your uncle 2 
2963,xdai,0xa9d164b6b230e2c8c3b066c3312ae2a0a24c7e47,2.1,0x9434a115694359b435e08748a9498d1f634db1e5,1639061170,1639061170,40,,0,0xa9d164b6b230e2c8c3b066c3312ae2a0a24c7e47,comiDAO
2964,xdai,0xa9d369815b5a4150d05cefeb6b25291eda7c3e23,2.1,0x53dc3204f2f294f6a5649a36ac295f74a0db92e0,1638466310,1638466310,1,,0,0xa9d369815b5a4150d05cefeb6b25291eda7c3e23,
2965,xdai,0xaa623f71ddcb62c80c1e923505cf9a40892bbab4,2.1,0x8e4bdd156e4dd802dd919f4fd2645681ce99a538,1627370675,1627370675,3,,0,0xaa623f71ddcb62c80c1e923505cf9a40892bbab4,Balkan Mystic Card Crafts
2966,xdai,0xaaaa9864ee3109cb79a645d020050f45af65aa87,2.1,0x0fef92a34ecf1f742b01c9e3cb2732a83c6067b6,1648754930,1648754930,1,,0,0xaaaa9864ee3109cb79a645d020050f45af65aa87,Bau's Test DAO
2967,xdai,0xaae02cfe8d380cb42bca69fd91657d9fffd0775f,2.1,0x03cfa08668fc63493595f4846fb3ad1458c7c576,1617730040,1617730040,1,,0,0xaae02cfe8d380cb42bca69fd91657d9fffd0775f,BlockSourced
2968,xdai,0xaafb027a785ddc745c1bb6c84ce1a15e04ed78ae,2.1,0x12195f54b64661a7b273c2880bf6274c09c37852,1633144540,1633144540,1,,0,0xaafb027a785ddc745c1bb6c84ce1a15e04ed78ae,42 Club
2969,xdai,0xab025e7d5f22b58e6e30f16c7f8c54f67cfee86f,2.1,0xb4caa764e2bf087f1a7a0cec43250892022787d9,1621351480,1621351480,1,,0,0xab025e7d5f22b58e6e30f16c7f8c54f67cfee86f,unip dao
2970,xdai,0xab1fe4baad0ed7a53a21c0e355ca67c0ffa6409f,2.1,0xa9e5dcee09493b94706e4a989ad250efa5345942,1616477900,1616477900,1,,0,0xab1fe4baad0ed7a53a21c0e355ca67c0ffa6409f,JIANZHUCHA
2971,xdai,0xab229fa95b3115f23284a5e8956a92210ee5b419,2.1,0x123a3c28eb9e701c173d3a73412489f3554f3005,1644531420,1644531420,1,,0,0xab229fa95b3115f23284a5e8956a92210ee5b419,HomeworkDAO
2972,xdai,0xab7b02a8d86d1598017a37ec4f93082b3284c51c,2.1,0x164ba6d1e6dd5f937908c34137d271ea3852c214,1636431660,1636431660,20,,0,0xab7b02a8d86d1598017a37ec4f93082b3284c51c,Rage Quit
2973,xdai,0xab94cb340b92c15865ed385acd0e1eabedb3c5ae,2.1,0x717303f9258ff6fae98a9e1dba3d34bf21688415,1623773905,1623773905,1533,,0,0xab94cb340b92c15865ed385acd0e1eabedb3c5ae,MachiX xDai
2974,xdai,0xabc464d3afa371c408fd798b43c8a4a2fb034ec7,2.1,0x3007d804b9ea75e6e2a7d00c97e4a8941a8dc746,1614136560,1614136560,1,,0,0xabc464d3afa371c408fd798b43c8a4a2fb034ec7,Test
2975,xdai,0xabedac6071c520ecdb8be51595088e38640b18e4,2.1,0xe366355e53169d030c6af3de0e48b15ad657892f,1636086470,1636086470,1,,0,0xabedac6071c520ecdb8be51595088e38640b18e4,swf1023
2976,xdai,0xac44e57279b4e90854511f32e1b267b9dedc9f5b,2.1,0x371ea1e8fcb52083a2a6ee8bb44bb5540939fb82,1616659355,1616659355,10,,0,0xac44e57279b4e90854511f32e1b267b9dedc9f5b,Airdrop plan
2977,xdai,0xacee5787140caf2f353d934bb5a97a15442f6e40,2.1,0x9c2426eec32a445216d2b5459a8959b751426bd8,1640235280,1640235280,1000,,0,0xacee5787140caf2f353d934bb5a97a15442f6e40,UndefinedValue
2978,xdai,0xacf10f7172e4918e908ba54c2eea56835d8b1f9d,2.1,0x0ad3c4ce633196a9bced5a14ba28ebe71bdb5bcb,1652658555,1652658555,1,,0,0xacf10f7172e4918e908ba54c2eea56835d8b1f9d,ENS Inu
2979,xdai,0xad4aa6cc3692a9b0cf8bc3bfb911bdc75fa3e8a7,2.1,0x4444af4645728dd2e13e8334f19096106160cd5f,1651415945,1651415945,37,,0,0xad4aa6cc3692a9b0cf8bc3bfb911bdc75fa3e8a7,Small Fish Fund
2980,xdai,0xad75f662af470136c2cebbac27195d71aa0c5d2e,2.1,0x3181d4d98e3814b1f893d9070c10bb503ea3e7e3,1647722545,1647722545,1000,,0,0xad75f662af470136c2cebbac27195d71aa0c5d2e,yeni100colony
2981,xdai,0xad80fbdb9c9652b5238dbd1dc4b4c7f7c364dba7,2.1,0x756ee8b8e898d497043c2320d9909f1dd5a7077f,1625004655,1625004655,45,,0,0xad80fbdb9c9652b5238dbd1dc4b4c7f7c364dba7,Splainer DAO
2982,xdai,0xad94947d23f054a5b3853010a1f2583b34968385,2.1,0xd05a4d9895ceff2db6cf7e4353dbe45170c734be,1651650630,1651650630,1,,0,0xad94947d23f054a5b3853010a1f2583b34968385,
2983,xdai,0xada2cfd6d68e258adbf2d6e8e9e286c3c7d74fd9,2.1,0x3a00ac02bce2499c40519be4dcce93ece67ac0ad,1649275265,1649275265,500,,0,0xada2cfd6d68e258adbf2d6e8e9e286c3c7d74fd9,MobiLive
2984,xdai,0xadc4deed850543df524114c4232d0b365179913f,2.1,0x52fea4dd6277e183e6d1a79aa305f5e6fef90dc0,1632594550,1632594550,1,,0,0xadc4deed850543df524114c4232d0b365179913f,Daolly Parton 
2985,xdai,0xae0bd8ba29fdbfeff88b5312cd9847588fc3686e,2.1,0x1809bead2f82ecaa45bf0e21027a5f6b3e62f363,1634937250,1634937250,1,,0,0xae0bd8ba29fdbfeff88b5312cd9847588fc3686e,
2986,xdai,0xae423cfe8545d616f8b120dd3d198a12e7d696d8,2.1,0x9650f4fedd1e6ce63621479a4bf5f4d743e6f958,1611459115,1611459115,1,,0,0xae423cfe8545d616f8b120dd3d198a12e7d696d8,Fomobros
2987,xdai,0xae50411870276b104c54fe840130f9503ac32a3d,2.1,0xced608aa29bb92185d9b6340adcbfa263dae075b,1624287550,1624287550,1,,0,0xae50411870276b104c54fe840130f9503ac32a3d,Castle LP DAO
2988,xdai,0xae7964366becf9a8e0fa6832897555e6160b528e,2.1,0x1687b6df8619738222ecd6d1a9c23ffe44052ec7,1643601145,1643601145,1,,0,0xae7964366becf9a8e0fa6832897555e6160b528e,
2989,xdai,0xae873a8145552583a9a0d45898ae36056a4c0738,2.1,0x73307c6a8ca88b56468a62eb15f8b5a37fce82f0,1623761440,1623761440,1,,0,0xae873a8145552583a9a0d45898ae36056a4c0738,Crypto Brownsville
2990,xdai,0xae8beee5b49d6edef8f60a4ece02b59e6932623d,2.1,0x21f461abaa44eab4fd1c4112ecf47c5a78f41f8c,1627638010,1627638010,2551,,450,0xae8beee5b49d6edef8f60a4ece02b59e6932623d, Ethergy DAO xDai
2991,xdai,0xae9efac85e1bf85301664d2eed78d653e1b316e5,2.1,0x1e084a50970f7b80823896db4d2e6fa639747798,1643128080,1643128080,1,,0,0xae9efac85e1bf85301664d2eed78d653e1b316e5,All Things DAO
2992,xdai,0xaea979225d10d25c9d8514dfbffbd096fb24b4d9,2.1,0x89bdadb8bc03d2b6f4a33f2e3916bd4693896738,1636763322,1636763322,1,,0,0xaea979225d10d25c9d8514dfbffbd096fb24b4d9,Kwil Test DAO
2993,xdai,0xaeee78769a35bbe672bf848aa5fb347e1ea8751c,2.1,0xfa99abfc81243b552fbff526a424f3de6e4f3605,1632148080,1632148080,2,,0,0xaeee78769a35bbe672bf848aa5fb347e1ea8751c,Test xBlue
2994,xdai,0xaeef03958945021312695ca0af7c922b8f0bc643,2.1,0xd974c81d93ff2fae361511d6b4076d0db4a89634,1614800600,1614800600,2001,,0,0xaeef03958945021312695ca0af7c922b8f0bc643,DSCVR_DAO HD - BAD CLONE
2995,xdai,0xaf064c2e649012abbfa7d662aefa5bf5012bebff,2.1,0x1687b6df8619738222ecd6d1a9c23ffe44052ec7,1643602590,1643602590,1,,0,0xaf064c2e649012abbfa7d662aefa5bf5012bebff,
2996,xdai,0xaf4945f70fcdeaf95949acd51ffb57c881a7d9ef,2.1,0x1ae74f5f0d55d82ab60b381cacec1445eaa1b26a,1642365585,1642365585,102,,0,0xaf4945f70fcdeaf95949acd51ffb57c881a7d9ef,KLONX survivors 
2997,xdai,0xaf4b3a69614b7a9c990927beea4e485a06149c95,2.1,0xe58ebc8dcc0295e0eb74e94663a9dba1bdebbb13,1633948920,1633948920,1000,,0,0xaf4b3a69614b7a9c990927beea4e485a06149c95,Cuiseuse de riz
2998,xdai,0xaf69c7e0bbd599a1dfcd05df609a9f9e01fbca10,2.1,0xc2207416886ef70e2e8e12515eff83230489384b,1621287265,1621287265,3,,0,0xaf69c7e0bbd599a1dfcd05df609a9f9e01fbca10,
2999,xdai,0xaf9b539cf6689c2d39e29e4dfe4debcf3ab43176,2.1,0x164e8dbe80776b53f702e169f3753bcaf1945ad3,1621716825,1621716825,15,,0,0xaf9b539cf6689c2d39e29e4dfe4debcf3ab43176,TNL Dao
3000,xdai,0xafc06960f1fe96bce1409142958bdc560c298d58,2.1,0x1685324bf373670ad5c9c56bd88a1dc1c063b0f9,1621957860,1621957860,1,,0,0xafc06960f1fe96bce1409142958bdc560c298d58,
3001,xdai,0xafea0ab243c78b5de47299ba8d96b87ef207d669,2.1,0xe27890a9f122c6df6f27a6fb92970334777016dd,1638167870,1638167870,1,,0,0xafea0ab243c78b5de47299ba8d96b87ef207d669,
3002,xdai,0xb00afd40650cc920fcd62ae7039dbaeb6ddfb5cc,2.1,0xc75446a6adaef73269dbdece73536977b2b639e0,1626803930,1626803930,1,,0,0xb00afd40650cc920fcd62ae7039dbaeb6ddfb5cc,Alpha DAO
3003,xdai,0xb029f67a447175f2bbda0060cafbab427ccc6f9f,2.1,0x6ce3f8a0677d5f758977518f7873d60218c9d7ef,1642508150,1642508150,1,,0,0xb029f67a447175f2bbda0060cafbab427ccc6f9f,The Collective DAO
3004,xdai,0xb0427133ee1ecb07449e7d9c8de9caa4c523f222,2.1,0x01eedb56d4330cc5f9e9aeee4eb7e8cc673bb55f,1638629325,1638629325,1,,0,0xb0427133ee1ecb07449e7d9c8de9caa4c523f222,GuardDAO
3005,xdai,0xb09b7ae810e1eec6b71d2d289041b01e0c1d0046,2.1,0x5b7c3d64269832976a591a38ddf202467af39c56,1619484585,1619484585,1,,0,0xb09b7ae810e1eec6b71d2d289041b01e0c1d0046,Forging DAO
