,id,address,name,node,appCount,network
0,0x011a080c970cfe78150a70141b24d45b2f5b5a76,0x011a080c970cfe78150a70141b24d45b2f5b5a76,dcl-list,0x1140ead91a63facf298a963dd4bb9904cec93057a7f66a8e6e9a3d4a7f1ce6d4,2,mainnet
1,0x01f9d9ad8461bb509c73f7ed641030eb07e5582a,0x01f9d9ad8461bb509c73f7ed641030eb07e5582a,voting-aggregator,0x818d8ea9df3dca764232c22548318a98f82f388b760b4b5abe80a4b40f9b2076,4,mainnet
2,0x020d93d08c09f82763862606d8c6927e295e7cf8,0x020d93d08c09f82763862606d8c6927e295e7cf8,pnetwork-voting,0x9260bf6a9c9e6c72c752ae2148b70a0e01c8aef8647622cc64e7b71a79d1c934,1,mainnet
3,0x02ac0be6c48e0b241eb479744ccc047e05270950,0x02ac0be6c48e0b241eb479744ccc047e05270950,rewards-cd,0x0b0344c7020f280f3bd721c709ffc5b76646a540558d08caaceea9cdbb518d19,1,mainnet
4,0x046b42000594a879db857ec8d6dc4340b99ab14e,0x046b42000594a879db857ec8d6dc4340b99ab14e,althea,0x33ec2d92fc47b5383901b8a3856d208d3a66104fa46c4a06f3f97536e9b6fc5b,1,mainnet
5,0x084980425774ff79a6d23806b22f6f8d74c51545,0x084980425774ff79a6d23806b22f6f8d74c51545,whitelist-oracle,0x32ceb944f61770acf9d24fe42fd7ad630d08049a3b80b1475b120ab23569ba92,0,mainnet
6,0x08b4a92603003385d3bba134e059406fd4590c58,0x08b4a92603003385d3bba134e059406fd4590c58,apm-repo,0x7b4f7602faf178a4a239b8b2ed4155358e256b08ee7c6b6b1b01ebec891ce1f1,0,mainnet
7,0x0a9be50c24f8536fa11d17a77d0baa4290f720fc,0x0a9be50c24f8536fa11d17a77d0baa4290f720fc,projects,0xac5c7cc8f4ed07bb3543b5a4152c4f1a045e1be68bd86e2cf6720b680d1d14f3,206,mainnet
8,0x0ad013f4cec8abc51fab36f2b5c364f1e5940c25,0x0ad013f4cec8abc51fab36f2b5c364f1e5940c25,dandelion-org-template,0x534b69e1f887c1c0fb59f5b0fd13a38f631435371c78122d040c5524822e63b1,0,mainnet
9,0x0b31f92a16b8f680a52cbd4ee9ff5a49178ef3d5,0x0b31f92a16b8f680a52cbd4ee9ff5a49178ef3d5,cybervesting,0xb3898b383ac8a6bae742b41163ced5666086e3e367be1b3de9251c2dbc45d412,1,mainnet
10,0x0bf7729efd09e06ef251a2b67dab364a962665f4,0x0bf7729efd09e06ef251a2b67dab364a962665f4,create-guild-voting,0xcd17fb398162a0f415ce42cad012ce910fe63edcc5d0513307fcf0f172952736,1,mainnet
