,network,id,address,totalSupply,transferable,name,symbol,orgAddress,appAddress,lastUpdateAt
1551,mainnet,tokenAddress-0xaac74cc53d4595d557296ab6b0179a2eaf720240,0xaac74cc53d4595d557296ab6b0179a2eaf720240,100000000000000000000,True,0day,0DAY,0xb059d0b7aeb1ec69117ce56cb28c75957aeb874c,0xe918cf0c53b16a4cc1f66fd1c71f7b7b610f5ab5,1568395693
1552,mainnet,tokenAddress-0xaaca8e478d3612ddd53654291bdc1303977da2f7,0xaaca8e478d3612ddd53654291bdc1303977da2f7,1000000000000000000000,True,Liquid,LQD,0x8173b2ce4794a324636319573cd686560713073a,0xb1e31546b99f9316782ed023f084407148c36cb3,1570218069
1553,mainnet,tokenAddress-0xaacf16b30c0c1346a8e5635330c548361678a210,0xaacf16b30c0c1346a8e5635330c548361678a210,1000000000000000000,False,Black Friday Movement,BFM,0x00b424842685f69912cfd93af7293602c973bf56,0xc998e3027d26da77295a1a2ebe413201eedd5ea8,1573488171
1554,mainnet,tokenAddress-0xaae40b2ae0d1f466f206642d43d5e9e4c3a35604,0xaae40b2ae0d1f466f206642d43d5e9e4c3a35604,1000000000000000000000,True,Axiom Infrastructure,AI,0xb8b4da6c682b2d5d8ed1e86f26a9522d65127a96,0x7d40daf6cb820e268e33e7b563a0aebc280a77a3,1686672371
1555,mainnet,tokenAddress-0xaafae9e6d981cf3cb94978bb236a6f836d234863,0xaafae9e6d981cf3cb94978bb236a6f836d234863,500000000000000000000000000,True,weedx,WEEDX,0xab0ada27341a06b4a44468fde4a6daa0e162f96e,0x1b2389cb3db462e3ee13b3eab254322e8b6d801e,1642655381
1556,mainnet,tokenAddress-0xab04b6d8e364163f9aaf8fc58ea134dde3d81bf2,0xab04b6d8e364163f9aaf8fc58ea134dde3d81bf2,2,False,PTOK.POSEIDON,PPOS,0x71f5125e0d5d0a6f9afca5674448b8859fd02075,0x6d24df3be7ad49b1b562fbbf106724275834dfd9,1546885393
1557,mainnet,tokenAddress-0xab19672598dce3fd3806ebda2db1792565fc7594,0xab19672598dce3fd3806ebda2db1792565fc7594,21000000000000000000000,True,preSPL,PRESPL,0x9c5dc9865dc5594403cfea7404a6d04baaa76796,0xa3af7b88674c625d5a7afd6bb861e7bb0aeea31f,1617248016
1558,mainnet,tokenAddress-0xab5fda997ef89424b849cf3d6c154774dd5378ef,0xab5fda997ef89424b849cf3d6c154774dd5378ef,1,False,Dart DAO,DART,0xa80cbf096119c19394ddf2801072f5528ac49acf,0x6eed4d7e6dc5667bc57de70c62eebf9a325eb658,1630589190
1559,mainnet,tokenAddress-0xab741f303729ce6e081ab7744b25355ac1f9212a,0xab741f303729ce6e081ab7744b25355ac1f9212a,100000000000000000000000000,True,Clockwork Gears,CWG,0x5c5d00ced26c37cf2b807cd011a9cd4c003e2302,0x0dccdd4ef28263b2f0e6bfd095152e4cb1c909e0,1571294857
1560,mainnet,tokenAddress-0xaba2c2a304bdec771691b4f83200b84c51e994fb,0xaba2c2a304bdec771691b4f83200b84c51e994fb,1000000000000000000000,True,Argand Memership Token,AMTK,0xf98997bbe337bcc157cc691ae0aa442a01a90233,0x7f7f8f84f08ba1b6140a3f9f86017dd1ff7bf246,1583989893
1561,mainnet,tokenAddress-0xabdec4a00bbb1d1fe49d1b13101a6b8847a979ed,0xabdec4a00bbb1d1fe49d1b13101a6b8847a979ed,4000000000000000000000,True,Status Bounty Token,SBT,0x73d57576e9910e5ad07055dafcdab28d1109b28c,0x9296cc659be1e6b84dd01c5256ff718ddc9cab54,1664269619
1562,mainnet,tokenAddress-0xabeb26144e7b224005aec815a669ebf4aa0587bb,0xabeb26144e7b224005aec815a669ebf4aa0587bb,1,False,dec,DEC,0xde81b683a794c6ae8ed684116cd6a7da62b36f8c,0x902ace0960451a6d2107efdeaf9866fce268b7ef,1540952666
1563,mainnet,tokenAddress-0xac134fc18517ebd063590aadb359d8018c1aaf96,0xac134fc18517ebd063590aadb359d8018c1aaf96,700000000000000000000000,True,OpenEsquire Membership,OEM,0x60c0d7a799f41be34527d6da6e17d7e885338388,0xc670a7524b7f29efd464289d995babf9f19b1717,1563667332
1564,mainnet,tokenAddress-0xac2fe74bf056455932a571d2f3fbe18f52084570,0xac2fe74bf056455932a571d2f3fbe18f52084570,1000002000000000000,True,HERB2020,HERB,0x28f7fe58749429b63e3ae5716a7fbb01f0965c83,0x70f579c02e32368132014a76f2289b6898a3f1e2,1544391012
1565,mainnet,tokenAddress-0xac46d2e9835c74fc51cceb19f4a2d23d8ec03fd5,0xac46d2e9835c74fc51cceb19f4a2d23d8ec03fd5,1000100000000000000000000000,True,DAO AMIGOZ,Z,0xdc5c7527c4ef325c4d9d08a02f80519a7fbdc217,0xb2078a3d02d429f2d8e2878fc09fc6ec43e3c238,1581272892
1566,mainnet,tokenAddress-0xac7f7c47fe99204ddb5b391b15aff04f6cfe44bf,0xac7f7c47fe99204ddb5b391b15aff04f6cfe44bf,1,False,BLANK,BLK,0x9d6a35a3de15d163f417c5a725d758783b3a3a86,0xfeffe4dcc0037b6251c8ceab4f40a3c2500d152c,1556433944
1567,mainnet,tokenAddress-0xac8e6cd1652a9d8106d0f9d813108f23e24dd9f8,0xac8e6cd1652a9d8106d0f9d813108f23e24dd9f8,1000000000000000000,False,Guilder,GLD,0x37a672a49225b640a7f2c8a77a7a8aab8b845e2a,0x8bc65f7152eb16444179b9a0d8a712a50db33ab2,1587053596
