,id,isForwarder,isUpgradeable,repoName,repoAddress,organizationId,network
0,0x000ce3f6f699fa22e627d023403e7fe1b232f251,False,True,vault,0xe73671913a7860c0fbdc3987871c1eff732916bf,0x85f12442771a8b5700c365d6e2aa03a8c42c4b78,mainnet
1,0x0017a25385931ee690dc09df6cca919d1cd007b2,False,True,kernel,,0x0017a25385931ee690dc09df6cca919d1cd007b2,mainnet
2,0x001809723e6c6f816f82ee58397132d1e3b042ed,True,True,token-manager,0x5a2c9d871f5ac6f06f2045ab06995a9556e86fbc,0x08a221c895649b4015edb4963b08584b3853ac92,mainnet
3,0x00186c0f2fbfe099b617d374c75a3a5c08e9dd53,False,True,acl,,0x3dd25adc280b94a231c4facd33090d14a9ae658e,mainnet
4,0x001cd74c9a99b6c68e93fe69595124407b37aa8e,False,True,kernel,,0x001cd74c9a99b6c68e93fe69595124407b37aa8e,mainnet
5,0x0021b622f112f6328886e8aa757a16952c94b130,True,True,token-manager,0x5a2c9d871f5ac6f06f2045ab06995a9556e86fbc,0x5324de7ed80ab582e131d8cbd1125e1b2d993297,mainnet
6,0x0026b8e97a1fd9fa92f58d5d22802314a0562114,False,False,evm-script-registry,,0xa9960e563cc24e9305c29a833c5c4ce0a0e864ee,mainnet
7,0x0028f795f80374f67093c4c623dc5938935b3ebc,False,True,acl,,0xf67a3cba79f81fcc4948d838e1d81437780d6d67,mainnet
8,0x00299ee9faf692b8e48b0cc7a9c1805dd821b131,True,True,voting,0x12ccf2830f54b865f6d97aa0bc18897baec02185,0xc31691d35e890d70d2357f010406a28ae0fce74e,mainnet
9,0x002b5ed3d019a6348208674fa1d8869cb53d44f0,False,False,evm-script-registry,,0x958bb05e340b540d6f9a87f6ff0ec73fca272660,mainnet
10,0x002fee1287b25d1d4a3ec979d06d14895edc6acd,False,True,finance,0x2dab32a4befc9cd6221796ece92e98137c13647a,0x6384c637b9c3921842a22c33831531ce5524e699,mainnet
11,0x0032d7afdfb7d943c7e0c3a8c9943b5a3c2a0673,False,False,evm-script-registry,,0xed83383b54a7fdb9185e15c259fc54a29b7e8b41,mainnet
12,0x00356ae670b3acd985044e997f406bf0443b5545,False,True,finance,0x2dab32a4befc9cd6221796ece92e98137c13647a,0xa46a9c2db63f52f4e784a4abe639769443f8b5df,mainnet
13,0x0037e95c3a295b7801bdd6766bde1c8c87caf0fb,False,True,acl,,0xa67e108c5cf0017653ddf5ee143aebe109d79d8c,mainnet
14,0x0040afce79245c2c489282bc9d6bb82169c8039b,True,True,dot-voting,0xd461886059dc6a06dc052474ac9bc2fd172465db,0x110810d42d409d526320897399a29ee7b65c1be6,mainnet
